review_id,review_score,review_text,aspectos_detectados,logistica_sentimento,produto_sentimento,atendimento_sentimento,preco_sentimento,to_remove
889bd6683d2db12bda0a7ede0d0bd32b,5,"Excelente vendedor, ótimo produto ","produto, atendimento",,,,,Não
c9203b9d13510805e3189e7210530fc0,5,"Fiquei impressionado com o prazo de entrega, com menos de oito dias para o prazo limite recebi o produto. Parabéns a logística, trabalho de excelente qualidade.","logistica, produto",,,,,Não
8ddff7b790fbde17391a9bea9830e3f3,1,Comprei o produto no inicio de fevereiro e ainda não recebi e não houve posicionamento da loja ,"produto, atendimento",,,,,Não
3efd5b71137cbbdb21f6f170af367c81,1,Comprei 02 nichos e só recebi o nicho preto 40x30. Faltou o nicho travertino 60x30. O que aconteceu?,,,,,,Não
28b63df92548be77ba0c67827cd52468,5,"Comprei,paguei,esperei um pouco mas...recebi e gostei !!!!
Diferente da minha experiência anterior, com outro ""parceiro"" do baratheon que, depois de muuuiiita espera, não entregou o produto. Parabéns!","logistica, produto, preco",,,,,Não
66bffcbf6c7f4f41c3de2e5553209771,2,"Os preços são bons e os produtos de qualidade.O problema não é a loja, mas o serviço de entrega utilizado por eles é o pior do país. Os Correios nunca entregam no prazo.","logistica, produto, atendimento",,,,,Não
0df63e0be193f3fd46f05c9d78d0a0f8,4,"Ótimo produto, entrega rápida porém chegou na cor errada. Optei por não fazer a troca.","logistica, produto",,,,,Não
ca8b93f626069ca2595f1c4c104190f9,5,"Recomendo a empresa pela celeridade, embalagem e excelente atendimento. Lhes desejo sucesso e bons negócios.","logistica, produto, atendimento",,,,,Não
48b3ce236ea9d35a4850ea94ca9ca38f,2,Produto não chegou no prazo ,"logistica, produto",,,,,Não
49cb1b45e23f07f438b471464c97be39,2,Muita demora na entrega.,logistica,,,,,Não
6d0cd9e20f87c84ca8c4a9040a697ca2,4,"O produto corresponde à descrição, veio embalado direitinho e chegou no prazo.","logistica, produto",,,,,Não
970153b7d53ecdcddb670dff7e7aa3a7,4,Satisfeito com o prazo de entrega.,logistica,,,,,Não
3e0497d573194d408da07a2b7fd148a2,4,Produto entregue sem avarias.,"logistica, produto",,,,,Não
7f7ed1b467818215d9fb009103f35494,5,Entregou muitíssimo rápido... A previsão para o dia 09 de abril e entregou no dia 29 de março... Fora q fiz o pedido em aproximadamente 05 dias...,logistica,,,,,Não
904edfa00a94ddca4e9a1afb59d464d4,1,Quero meu produto se não vou entrar com processo falta de respeito ,produto,,,,,Não
be8fdfb6db68c5719625577046961de4,1,Comprei kit com 2 produtos e só foi enviado 1 produto! Não obtive retorno para solução do problema.,"logistica, produto, atendimento",,,,,Não
12157c1f7de827bcbc8473b92c9b020c,1,"O PEDIDO CHEGOU ERRADO, FALTANDO UM ITEM , PAGUEI POR DOIS RETROVISORES E RECEBI SOMENTE UM,!!!
AGUARDO SOLUÇÃO URGENTE!!!","logistica, atendimento, preco",,,,,Não
4dcde4b93dab1bcae46adc07b9b5d2c7,4,O produto não é tão portátil quanto anunciado.,produto,,,,,Não
84a851ee0a04b9cd8982443a435ac580,5,Entrega rápida. Bom produto.,"logistica, produto",,,,,Não
65bb817eac8390bcaedd5f20bab84de7,5,As entregas do baratheon hoje demoram muito mais que anos atrás.,"logistica, preco",,,,,Não
bf2c57f53bad9664a748e27d59e6555f,3,"A loja cumpriu com a parte dela,porem o produto não fi entregue pelos correios.fiquei insatisfeita
","logistica, produto, atendimento",,,,,Não
eb95b652760dbb3dbc42cd89e7bb840d,4,"Como o produto foi violado, já entrei em contato com o baratheon que segundo a atendente será reenviado outro quite.Quero salientar ainda que o único produto que me entregaram foi o fixador de cachos.","logistica, produto, atendimento, preco",,,,,Não
5ffa45093f49865230d1caa8fcf109ae,3,A cor do produto está longe de ser bronze. A qualidade não é tão boa. Encomendei a cor bronze e veio um bege.,produto,,,,,Não
d24013cc660906801fb4638efc02e7c4,3,Recebi todos os outros pendentes que comprei ...esta faltando o branco,,,,,,Não
16124a8db404a0263dffd721c786ad2c,5,"RECEBI ANTES DO PRAZO, PRODUTO ÓTIMO, BEM EMBALADO.","logistica, produto",,,,,Não
746316fdcc81ba0444f2e0ff19ca7157,1,Apenas foi entregue 1 mercadoria ,logistica,,,,,Não
fde4e9bd81c32b6ac24a39a60f73a66c,4,"Produto de ótima qualidade e fácil instalação, entrega super rápida, tudo certinho.","logistica, produto",,,,,Não
03b512c30047ec991488cebd20d9b69c,5,Comprei um kit proteção Mormaii e adorei o preço e a qualidade. É necessário observar que os tamanhos não são claros se é pra adulto ou infantil. Ainda bem que pedi G e deu certinho. Estou satisfeita!,"produto, preco",,,,,Não
9c750e5844b5234fa334c78475f77be6,1,Um dos produtos comprados não foi entregue mas consta no site como se houvesse sido entregue há dois dias.,logistica,,,,,Não
2c4e03b93954abb725a277611002bb4f,5,Recomendo o produto e vendedor. Tudo ok na compra,"produto, atendimento",,,,,Não
636b237e87574ba29654deaba9eb9797,2,"foi escrito que o produto já foi entregue, mas não chegou nada :\","logistica, produto",,,,,Não
3f5a00fd3278450c35cdbeb189299830,4,"chegou antes do prazo, porém tive que retirar no correio, mesmo no ato da compra tendo optado pela entrega na minha residencia.",logistica,,,,,Não
13723d188b593851bc3d1d2ba5ff6d02,4,Produto entregue no prazo e conforme descrição.,"logistica, produto",,,,,Não
4bb1ef78562973e974acec99a3272289,2,O produto veio com várias partes quebradas dentro da caixa. ,"logistica, produto",,,,,Não
9de009b24349a8dd3c4a56cddaf0b4c8,5,"Produto veio certinho, e entregue antes do prazo","logistica, produto",,,,,Não
33243c6c9920899fb1aa6189e033f5ec,5,Ótimo produto de excelente qualidade com certeza recomendo a todos.,produto,,,,,Não
e5d38da54f31521c140f9fcdc9eb71f8,4,"Só não recebi a nota fiscal.

Assim eu perdi a garantia.",,,,,,Não
dcb122bede144c1805977e4ab7da785a,5,"Bom produto, entregue conforme especificações e dentro do prazo.","logistica, produto",,,,,Não
