review_id,review_text,logistica_sentimento,produto_sentimento,atendimento_sentimento,preco_sentimento,to_remove
d3c62500417e7eeab7c6ac2151b67357,"Um produto como uma carteira somente poderia ser avaliado depois de algum tempo de uso, No entanto, o produto é bem acabado e de couro conforme o especificado pela empresa.",,Positivo,,,Não
0f952ad4dfb88a77f12211a4038c70dd,"Entrega no prazo , bom produto .",Positivo,Positivo,,,Não
067b7c9c760d8bda7a2c38fb1f3fdf6e,"entrega rápida",Positivo,,,,Não
62f78be17aa2ef7db33e5781e00e7dc8,"Chegou no prazo e atendeu as minhas espectativas",Positivo,,,,Não
9fcdf7983153b632cdbab78bf7d7f83a,"Logística ótima entregue antes do prazo previsto, estou satisfeito. ",Positivo,,,,Não
a2e0d982abe0a650156ec056ca4d1b85,"Entrega no prazo combinado , chegou certinho recomendo esse loja ",Positivo,,,,Não
74ef1abcf8bfb7ca756b7cd788ee366b,"Vocês me enviaram faltando 3 cortinas. E agora?",,Negativo,,,Não
1faf54dfeb5d82e5218a8ca9433e90b8,"A encomenda demorou muito a chegar mas chegou em perfeito estado.",Negativo,Positivo,,,Não
2070cfae604cb0be67d5967716a68107,"produto dentro do esperado sem defeitos",Neutro,Neutro,,,Não
5bb1b76de6b52930ca68babe90a89935,"Chegou no prazo !",Positivo,,,,Não
bbda12c71aab2a0fc4abd9552708b896,"S",,,,,Sim
3fca95425de85f09a53a4ddf53382986,"Produto ótimo, a entrega deixou a desejar",Negativo,Positivo,,,Não
9258b018cff95838336b62b1d0557b70,"Ainda não recebi meu produto não dá pra avaliar",Negativo,,,,Não
55bb8e267a4a3de93b0392fd9c0b7423,"Top",,,,,Sim
05a8043ba7365e650700ee4d1c81cfba,"Gostaria que as entregas fossem mais rápidas.",Negativo,,,,Não
9fa512c5a402254eb83131b1ec913472,"Quero estorno do meu dinheiro o mais rápido possível ou ainda aceito a entrega do meu produto",Negativo,,,,Não
3e2077f5e653f7feb84021b9aeae83a7,"Produto muito bom mais o prazo nao.foi cumprido ",Negativo,Positivo,,,Não
7e5cc504d8982e90475a983f91fd77e4,"Olá, o produto veio com o conctor faltando. Por favor, podem me enviar? 

Aguardo. ",,Negativo,,,Não
1ffb32409730d69bbb5e43854e520701,"Não é um produto que chega e é passível de instalação. Sem manual, é necessário entrar em contato com a empreaa fabricante. Um produto caro que exige plataforma Windows para instalação e configuração.",,Negativo,,Negativo,Não
788bbd45387e5796158ee6946bb4fc37,"Ok",,,,,Sim
8a8685c5c82139492c1c2ffc9c34b784,"Quero trocar o produto. Tecido da cortina mega fino",,Negativo,,,Não
82e4a744dd74699abef5974e2e6aabc0,"Recebi o produto antes da data estipulada porem as tampas vieram quebradas como se não suportasse o produto dentro da embalagem (embalagem pequena).",Positivo,Negativo,,,Não
25b5083f478c1c2c328861ed577331ca,"Meu filho amou a mochila... Perfeita..e melhor ainda chegou justo no aniversário dele.",Positivo,Positivo,,,Não
d2e20804862d37a172387b3b7df223e9,"desde pedido não vieram as almofadas ainda",Negativo,Negativo,,,Não
fa17f23f65598c9ca0caab952a71651e,"Boa!",,,,,Sim
e10c873dd7f4b4878f3ea35a6589be9d,"Td certo com a entrega",Positivo,,,,Não
47a1ec3b36740c923bfa0dead6ff1517,"Produtos com qualidade, entregues antes do prazo.",Positivo,Positivo,,,Não
